"Standardized.name","Main.class","Sub.class","KEGG_ID","HMDB_ID","logFC","adj.P.Val"
NA,NA,NA,NA,NA,-0.705632476160794,0.000460944188912545
"-","-","-","-","-",-0.567198397859332,0.000482250897500767
"-","-","-","-","-",-0.58094590398159,0.000762395970866269
"-","-","-","-","-",0.591118667961034,0.000762395970866269
"-","-","-","-","-",-0.512305804618128,0.000762395970866269
"CAR 16:0","Fatty esters","Acyl carnitines","C02990","HMDB0000222",-0.356414537461298,0.00136553760636547
"CE 16:0","Sterol esters","Chol. esters","C11251","HMDB0000885",0.390371222990364,0.00164237309359363
"CE 16:1","Sterol esters","Chol. esters","-","-",0.333285750079593,0.00171889124629622
"CE 17:1","Sterol esters","Chol. esters","-","-",0.311557841700903,0.00265826738786661
"CE 18:1","Sterol esters","Chol. esters","-","-",0.41649954486557,0.00272543885573438
"CE 18:2","Sterol esters","Chol. esters","-","-",0.313686489242233,0.00287821377571324
"CE 18:3","Sterol esters","Chol. esters","-","-",-0.39929772454613,0.00576874432956113
"CE 18:4","Sterol esters","Chol. esters","-","-",-0.429423997982198,0.00576874432956113
"CE 20:1","Sterol esters","Chol. esters","-","-",-0.311194137477294,0.00669406764938552
"CE 20:2","Sterol esters","Chol. esters","-","-",-0.312999473864867,0.0068431650754247
"CE 20:3","Sterol esters","Chol. esters","-","-",-0.242385334624331,0.0068431650754247
"CE 20:4","Sterol esters","Chol. esters","-","-",-0.240789446209263,0.0068431650754247
"CE 20:5","Sterol esters","Chol. esters","-","-",0.472210343583232,0.0068431650754247
"CE 21:4","Sterol esters","Chol. esters","-","-",0.226315172031367,0.00880899060826324
"CE 22:4","Sterol esters","Chol. esters","-","-",-0.326356815144733,0.0107872328479438
